case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
101,23.380,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x512_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
102,23.460,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x512_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
103,22.420,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x512_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
104,21.660,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x512_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
105,21.640,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x128_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
106,20.280,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x128_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
107,21.940,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x128_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
108,21.280,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x128_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
109,23.260,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x160_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
110,23.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x160_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
111,23.320,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x160_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
112,23.760,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x160_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
113,22.740,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x192_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
114,22.740,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x192_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
115,22.740,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x192_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
116,22.260,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x192_128x192x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
117,24.500,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x224_128x192x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
118,25.081,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x224_128x192x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
119,23.740,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x192x224_128x192x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
