case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
54,22.300,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x128_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
55,22.460,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x128_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
56,22.680,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x128_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
57,24.020,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x160_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
58,24.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x160_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
59,23.300,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x160_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
60,24.200,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x160_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
61,23.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x192_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
62,23.280,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x192_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
63,23.380,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x192_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
64,24.620,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x192_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
65,24.660,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x224_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
66,23.720,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x224_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
67,24.200,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x224_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
68,23.640,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x224_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
69,21.980,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x256_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
70,21.200,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x256_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
71,22.680,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x256_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
72,23.400,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x256_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
73,24.100,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x288_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
74,23.860,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x288_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
75,23.100,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x288_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
76,24.040,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x288_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
77,23.440,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x320_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
78,25.601,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x320_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
79,22.800,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x320_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
80,24.340,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x320_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
